rpm,hp,torque
1000,0.1,0.1
1010,0.1,0.1
1020,0.1,0.1
1030,0.1,0.1
1040,0.1,0.1
1050,0.1,0.1
1060,0.1,0.1
1070,0.1,0.1
1080,0.1,0.1
1090,0.1,0.1
1100,0.1,0.1
1110,0.1,0.12
1120,0.1,0.14
1130,0.1,0.16
1140,0.1,0.18
1150,0.1,0.2
1160,0.1,0.22
1170,0.1,0.24
1180,0.1,0.26
1190,0.1,0.28
1200,0.1,0.3
1210,0.1,0.31
1220,0.1,0.32
1230,0.1,0.33
1240,0.1,0.34
1250,0.1,0.35
1260,0.1,0.36
1270,0.1,0.37
1280,0.1,0.38
1290,0.1,0.39
1300,0.1,0.4
1310,0.1,0.42
1320,0.1,0.44
1330,0.1,0.46
1340,0.1,0.48
1350,0.1,0.5
1360,0.1,0.52
1370,0.1,0.54
1380,0.1,0.56
1390,0.1,0.58
1400,0.1,0.6
1410,0.1,0.61
1420,0.1,0.62
1430,0.1,0.63
1440,0.1,0.64
1450,0.1,0.65
1460,0.1,0.66
1470,0.1,0.67
1480,0.1,0.68
1490,0.1,0.69
1500,0.1,0.7
1510,0.11,0.72
1520,0.12,0.74
1530,0.13,0.76
1540,0.14,0.78
1550,0.15,0.8
1560,0.16,0.82
1570,0.17,0.84
1580,0.18,0.86
1590,0.19,0.88
1600,0.2,0.9
1610,0.2,0.91
1620,0.2,0.92
1630,0.2,0.93
1640,0.2,0.94
1650,0.2,0.95
1660,0.2,0.96
1670,0.2,0.97
1680,0.2,0.98
1690,0.2,0.99
1700,0.2,1
1710,0.21,1.01
1720,0.22,1.02
1730,0.23,1.03
1740,0.24,1.04
1750,0.25,1.05
1760,0.26,1.06
1770,0.27,1.07
1780,0.28,1.08
1790,0.29,1.09
1800,0.3,1.1
1810,0.3,1.12
1820,0.3,1.14
1830,0.3,1.16
1840,0.3,1.18
1850,0.3,1.2
1860,0.3,1.22
1870,0.3,1.24
1880,0.3,1.26
1890,0.3,1.28
1900,0.3,1.3
1910,0.31,1.31
1920,0.32,1.32
1930,0.33,1.33
1940,0.34,1.34
1950,0.35,1.35
1960,0.36,1.36
1970,0.37,1.37
1980,0.38,1.38
1990,0.39,1.39
2000,0.4,1.4
2010,0.4,1.41
2020,0.4,1.42
2030,0.4,1.43
2040,0.4,1.44
2050,0.4,1.45
2060,0.4,1.46
2070,0.4,1.47
2080,0.4,1.48
2090,0.4,1.49
2100,0.4,1.5
2110,0.41,1.51
2120,0.42,1.52
2130,0.43,1.53
2140,0.44,1.54
2150,0.45,1.55
2160,0.46,1.56
2170,0.47,1.57
2180,0.48,1.58
2190,0.49,1.59
2200,0.5,1.6
2210,0.51,1.62
2220,0.52,1.64
2230,0.53,1.66
2240,0.54,1.68
2250,0.55,1.7
2260,0.56,1.72
2270,0.57,1.74
2280,0.58,1.76
2290,0.59,1.78
2300,0.6,1.8
2310,0.6,1.81
2320,0.6,1.82
2330,0.6,1.83
