Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1   ,Fy_L1   ,Fz_L1   ,Mx_L1   ,Mz_L1   
            0, 6.161656529e-06, 0.20113389194, 0.148477032781, -262.881103516, -235.610733032, 5563.88769531, -6.4990568161, 6.83159303665
        0.001, 0.00161549833138, 0.206450968981, 0.148750156164, -265.301330566,  -235.3984375, 5548.96728516, -6.73433160782,  6.8582906723
        0.002, 0.0030576097779, 0.210651099682, 0.149263635278, -263.045288086, -234.952224731, 5526.37255859, -7.12449932098, 6.82900762558
        0.003, 0.00430118804798, 0.213934630156, 0.149975821376, -259.057922363, -234.428375244, 5501.60888672, -7.55926084518, 6.75217676163
        0.004, 0.00533159729093, 0.216505259275,  0.1508461833, -251.392181396, -234.036392212, 5481.30078125, -7.98177194595, 6.67303371429
        0.005, 0.00615694839507, 0.218555420637, 0.151844859123, -237.598449707, -233.751098633, 5468.50048828, -8.34774303436,  6.5885515213
        0.006, 0.00680155912414, 0.22025065124, 0.152951434255, -215.914901733, -233.721603394, 5464.80664062, -8.57496738434, 6.53812265396
        0.007, 0.00729556428269, 0.221705079079, 0.154153063893, -185.785140991, -233.963790894, 5467.35644531, -8.67828559875, 6.49796056747
        0.008, 0.00766748609021, 0.222998186946, 0.15544128418, -148.367416382, -234.504501343, 5472.07470703, -8.59973049164, 6.46730041504
        0.009, 0.0079392855987, 0.22414650023, 0.156809478998, -106.733474731, -235.366790771, 5473.65332031, -8.37051391602,  6.4454369545
         0.01, 0.00812079571187, 0.225135460496, 0.158249437809, -63.8992576599, -236.499969482, 5467.21728516, -7.99700021744, 6.43271827698
        0.011, 0.00820900220424, 0.225905671716, 0.159749478102, -23.4941082001, -237.76612854, 5451.18017578, -7.53608798981,  6.4300532341
        0.012, 0.00819031056017, 0.226394206285, 0.161293894053, 11.6143550873, -239.21043396, 5425.23535156, -7.03847980499, 6.42245388031
        0.013, 0.00804609339684, 0.226558610797, 0.162863895297, 39.3663864136, -240.667327881, 5393.12841797, -6.49051904678, 6.41398191452
        0.014, 0.00776045769453, 0.226381987333, 0.164439707994,  58.640953064, -242.056304932,   5358.765625, -5.90905427933, 6.39676570892
        0.015, 0.00732484553009, 0.225901857018, 0.166002631187, 70.5586853027, -243.375900269, 5326.83007812, -5.37603855133, 6.37733459473
        0.016, 0.00674179708585, 0.22517734766, 0.167537495494, 76.6628723145, -244.498077393, 5301.20507812, -4.93368196487, 6.34800434113
        0.017, 0.00602700794116, 0.224300414324, 0.169034004211, 79.6797943115, -245.377059937, 5282.85058594, -4.61875391006,  6.3130364418
        0.018, 0.00520872836933, 0.223356679082, 0.170486807823, 81.5937423706, -245.952941895, 5272.20214844, -4.43607711792, 6.26896572113
        0.019, 0.00432610604912, 0.22240883112, 0.171894818544, 83.8662872314, -246.232345581, 5265.74414062, -4.38177251816, 6.22647333145
         0.02, 0.00342314015143, 0.221492052078, 0.173258647323, 87.3364334106, -246.24786377,    5260.59375, -4.49883842468,  6.2086224556
        0.021, 0.00254290667363, 0.22058981657, 0.174579024315, 91.2888259888, -245.980941772, 5252.66748047, -4.76799631119, 6.22399282455
