Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1   ,Fy_L1   ,Fz_L1   ,Mx_L1   ,Mz_L1   
            0, 6.16083161731e-06, 0.20112042129, 0.148495271802, 0.0140724871308, -11.8634777069, 4820.07519531, -4.13688468933, -0.479264974594
        0.001, -0.000321070547216, 0.20063816011, 0.147826686502, -2.51973700523, -15.1537275314, 4820.09960938, -4.09454441071, -0.347002387047
        0.002, -0.000607118825428, 0.20037509501, 0.147620022297, -8.61030673981, -18.8667850494, 4820.18115234, -4.06238746643, -0.204544439912
        0.003, -0.000835569750052, 0.200149819255, 0.147402778268, -17.5548114777, -22.647600174, 4820.30371094, -4.02949237823, -0.0618300437927
        0.004, -0.000992685323581, 0.199985817075, 0.147184029222, -28.1685314178, -26.3673229218, 4820.45898438, -3.99702429771, 0.0773985236883
        0.005, -0.00107509235386, 0.199844330549, 0.146967217326, -38.9196472168, -29.990562439, 4820.64111328, -3.9653236866, 0.212995961308
        0.006, -0.00108914985321, 0.199692100286, 0.146752566099, -48.477394104, -33.5010452271, 4820.84619141, -3.93450570107, 0.345321536064
        0.007, -0.00104825163726, 0.199518352747, 0.146540313959, -55.9480400085, -36.8835411072, 4821.06982422, -3.90467977524, 0.474443137646
        0.008, -0.00096958182985, 0.199326068163, 0.146331265569, -60.9016304016, -40.1202049255, 4821.30908203, -3.87598848343, 0.599970340729
        0.009, -0.000871098600328, 0.199125170708, 0.146126791835, -63.3218994141, -43.1921920776, 4821.56005859, -3.84859824181, 0.721144020557
         0.01, -0.000769083504565, 0.198927223682, 0.145928636193, -63.5167808533, -46.0798187256, 4821.81982422,  -3.822691679, 0.836908698082
        0.011, -0.000676469353493, 0.19874215126, 0.14573854208, -62.0034599304, -48.7712211609, 4822.08544922, -3.79839754105, 0.946345806122
        0.012, -0.000602022570092, 0.198576465249, 0.145557627082, -59.3896064758, -51.2684745789, 4822.35400391, -3.77572989464, 1.04901254177
        0.013, -0.000550294411369, 0.19843313098, 0.145385935903, -56.2682266235, -53.5932044983, 4822.62353516, -3.75453615189, 1.14525151253
        0.014, -0.000522157992236, 0.198312416673, 0.145222246647, -53.1411170959, -55.786365509, 4822.89111328, -3.73449254036, 1.23624825478
        0.015, -0.000515688327141, 0.198212772608, 0.145064339042, -50.3782234192, -57.9001922607, 4823.15527344, -3.71516823769, 1.32375252247
        0.016, -0.000527144351508, 0.198131531477, 0.144909635186, -48.2105560303, -59.9855384827, 4823.41503906, -3.69613194466, 1.40958428383
        0.017, -0.000551867240574, 0.198065176606, 0.144755899906, -46.7461395264, -62.0809402466, 4823.66894531, -3.67704820633, 1.49518716335
        0.018, -0.000585001311265, 0.198009580374, 0.144601628184, -45.9961242676, -64.2078323364, 4823.91601562, -3.65772294998, 1.58141243458
        0.019, -0.000622017192654, 0.197960287333, 0.144446104765, -45.9018211365, -66.371711731, 4824.15576172, -3.63809800148,  1.6685385704
         0.02, -0.0006590578123, 0.197912916541, 0.144289314747, -46.358581543, -68.5663452148, 4824.38818359, -3.61821627617, 1.75641512871
        0.021, -0.000693138281349, 0.197863608599, 0.144131630659, -47.2359008789, -70.7784347534, 4824.61328125, -3.5981824398, 1.84463000298
        0.022, -0.000722225871868, 0.197809398174, 0.143973708153, -48.3942642212, -72.9915084839, 4824.83007812, -3.57813024521, 1.93264937401
        0.023, -0.000745221972466, 0.197748467326, 0.143816232681, -49.6990623474, -75.1887741089, 4825.03955078, -3.55819821358, 2.01992058754
        0.024, -0.000761865754612, 0.197680190206, 0.143659949303, -51.0315933228, -77.355140686, 4825.24121094, -3.53851246834, 2.10594248772
        0.025, -0.000772582017817, 0.197605073452, 0.143505439162, -52.296787262, -79.4784698486, 4825.43554688, -3.5191757679, 2.19031071663
        0.026, -0.000778294866905, 0.197524473071, 0.143353223801, -53.4274711609, -81.550239563, 4825.62255859, -3.5002617836, 2.27274060249
