Time,Kappa_L1,Alpha_L1,Gamma_L1,Fx_L1   ,Fy_L1   ,Fz_L1   ,Mx_L1   ,Mz_L1   
            0, -0.00075452926103, 0.201115816832, 0.14850153029, 49.4602546692, -11.8327722549, 4820.12744141, -4.14184141159, -0.487682372332
        0.001, -0.00132037047297, 0.200510874391, 0.147794857621, 45.0433921814, -15.8636598587, 4820.06103516, -4.09344387054, -0.321657925844
        0.002, -0.00183979095891, 0.200224280357, 0.147569224238, 38.5351791382, -19.8453502655, 4820.03955078, -4.05911540985, -0.160563483834
        0.003, -0.00230329739861, 0.199967518449, 0.147342145443, 30.2121620178, -23.7417526245, 4820.06787109, -4.02538490295, -0.00267649069428
        0.004, -0.00270143267699, 0.199737265706, 0.147115319967, 20.4005374908, -27.5555477142,   4820.140625, -3.99227571487, 0.152127102017
        0.005, -0.00302704493515, 0.199529498816, 0.14688923955, 9.44876861572, -31.2890701294, 4820.25195312, -3.95978164673, 0.303946822882
        0.006, -0.00327534484677, 0.199340775609, 0.146664321423, -2.28301429749, -34.9444274902, 4820.39892578, -3.92789530754, 0.452856957912
        0.007, -0.00344390422106, 0.199168115854, 0.146440908313, -14.4334430695, -38.5235214233, 4820.57763672, -3.89660978317, 0.598909974098
        0.008, -0.00353259313852, 0.19900894165, 0.146219238639, -26.649810791, -42.0292320251, 4820.78466797, -3.86590862274, 0.742186784744
        0.009, -0.00354345887899, 0.19886097312, 0.145999491215, -38.5972671509, -45.4619216919, 4821.01757812, -3.83579111099, 0.882659912109
         0.01, -0.00348055292852, 0.198722332716, 0.145781874657, -49.9669265747, -48.8230514526, 4821.27246094, -3.80625081062, 1.02034044266
        0.011, -0.00334971444681, 0.198591351509, 0.145566537976, -60.4829139709, -52.1139717102, 4821.54736328, -3.77727913857, 1.15523409843
        0.012, -0.00315831578337, 0.198466613889, 0.145353585482, -69.9080581665, -55.3359565735, 4821.83837891, -3.74886798859, 1.28734385967
        0.013, -0.00291498331353, 0.198346883059, 0.14514310658, -78.0482635498, -58.4902076721, 4822.14306641, -3.72100877762,  1.4166727066
        0.014, -0.00262929685414, 0.198231160641, 0.144935175776, -84.7554397583, -61.5778923035, 4822.45800781, -3.69369316101, 1.54322624207
        0.015, -0.00231148093008, 0.198118597269, 0.144729867578, -89.9290084839, -64.6001434326, 4822.78027344, -3.66691255569, 1.66701376438
        0.016, -0.00197209580801, 0.19800850749, 0.144527241588, -93.5160903931, -67.5580825806, 4823.10644531, -3.64065885544, 1.78804957867
