throttle,time,has_ended
0,0,0
0,0.1,0
0,0.2,0
0,0.3,0
0,0.4,0
0,0.5,0
0,0.6,0
0,0.7,0
0,0.8,0
0,0.9,0
0,1,0
0,1.1,0
0,1.2,0
0,1.3,0
0,1.4,0
0,1.5,0
0,1.6,0
0,1.7,0
0,1.8,0
0,1.9,0
0,2,0
0,2.1,0
0,2.2,0
0,2.3,0
0,2.4,0
0,2.5,0
0,2.6,0
0,2.7,0
0,2.8,0
0,2.9,0
0,3,0
0,3.1,0
0,3.2,0
0,3.3,0
0,3.4,0
0,3.5,0
0,3.6,0
0,3.7,0
0,3.8,0
0,3.9,0
0,4,0
0,4.1,0
0,4.2,0
0,4.3,0
0,4.4,0
0,4.5,0
0,4.6,0
0,4.7,0
0,4.8,0
0,4.9,0
0.735778,5,0
0.9855326,5.1,0
0.9855326,5.2,0
0.9855326,5.3,0
0.9855326,5.4,0
0.9855326,5.5,0
0.9855326,5.6,0
0.9855326,5.7,0
0.9855326,5.8,0
0.9855326,5.9,0
0.9855326,6,0
0.9855326,6.1,0
0.9855326,6.2,0
0.9855326,6.3,0
0.9855326,6.4,0
0.9855326,6.5,0
0.9855326,6.6,0
0.9855326,6.7,0
0.9855326,6.8,0
0.9855326,6.9,0
0.9855326,7,0
0.9855326,7.1,0
0.9855326,7.2,0
0.9855326,7.3,0
0.9855326,7.4,0
0.9855326,7.5,0
0.9855326,7.6,0
0.9855326,7.7,0
0.9855326,7.8,0
0.9855326,7.9,0
0.9855326,8,0
0.9855326,8.1,0
0.9855326,8.2,0
0.9855326,8.3,0
0.9855326,8.4,0
0.9855326,8.5,0
0.9855326,8.6,0
0.9855326,8.7,0
0.9855326,8.8,0
0.9855326,8.9,0
0.9855326,9,0
0.9855326,9.1,0
0.9855326,9.2,0
0.9855326,9.3,0
0.9855326,9.4,0
0.9855326,9.5,0
0.9855326,9.6,0
0.9855326,9.7,0
0.9855326,9.8,0
0.9855326,9.9,0
0.9855326,10,0
0.9855326,10.1,0
0.9855326,10.2,0
0.9855326,10.3,0
0.9855326,10.4,0
0.9855326,10.5,0
0.9855326,10.6,0
0.9855326,10.7,0
0.9855326,10.8,0
0.9855326,10.9,0
0.9855326,11,0
0.9855326,11.1,0
0.9855326,11.2,0
0.9855326,11.3,0
0.9855326,11.4,0
0.9855326,11.5,0
0.9855326,11.6,0
0.9855326,11.7,0
0.9855326,11.8,0
0.9855326,11.9,0
0.9855326,12,0
0.9855326,12.1,0
0.9855326,12.2,0
0.9855326,12.3,0
0.9855326,12.4,0
0.9855326,12.5,0
0.9855326,12.6,0
0.9855326,12.7,0
0.9855326,12.8,0
0.9855326,12.9,0
0.9855326,13,0
0.9855326,13.1,0
0.9855326,13.2,0
0.9855326,13.3,0
0.9855326,13.4,0
0.9855326,13.5,0
0.9855326,13.6,0
0.9855326,13.7,0
0.9855326,13.8,0
0.9855326,13.9,0
0.9855326,14,0
0.9855326,14.1,0
0.9855326,14.2,0
0.9855326,14.3,0
0.9855326,14.4,0
0.9855326,14.5,0
0.9855326,14.6,0
0.9855326,14.7,0
0.9855326,14.8,0
0.9855326,14.9,0
0.9855326,15,0
0.9855326,15.1,0
0.9855326,15.2,0
0.9855326,15.3,0
0.9855326,15.4,0
0.9855326,15.5,0
0.9855326,15.6,0
0.9855326,15.7,0
0.9855326,15.8,0
0.9855326,15.9,0
0.9855326,16,0
0.9855326,16.1,0
0.9855326,16.2,0
0.9855326,16.3,0
0.9855326,16.4,0
0.9855326,16.5,0
0.9855326,16.6,0
0.9855326,16.7,0
0.9855326,16.8,0
0.9855326,16.9,0
0.9855326,17,0
0.9855326,17.1,0
0.9855326,17.2,0
0.9855326,17.3,0
0.9855326,17.4,0
0.9855326,17.5,0
0.9855326,17.6,0
0.9855326,17.7,0
0.9855326,17.8,0
0.9855326,17.9,0
0.9855326,18,0
0.9855326,18.1,0
0.9855326,18.2,0
0.9855326,18.3,0
0.9855326,18.4,0
0.9855326,18.5,0
0.9855326,18.6,0
0.9855326,18.7,0
0.9855326,18.8,0
0.9855326,18.9,0
0.9855326,19,0
0.9855326,19.1,0
0.9855326,19.2,0
0.9855326,19.3,0
0.9855326,19.4,0
0.9855326,19.5,0
0.9855326,19.6,0
0.9855326,19.7,0
0.9855326,19.8,0
0.9855326,19.9,0
0.9855326,20,0
0.9855326,20.1,0
0.9855326,20.2,0
0.9855326,20.3,0
0.9855326,20.4,0
0.9855326,20.5,0
0.9855326,20.6,0
0.9855326,20.7,0
0.9855326,20.8,0
0.9855326,20.9,0
0.9855326,21,0
0.9855326,21.1,0
0.9855326,21.2,0
0.9855326,21.3,0
0.9855326,21.4,0
0.9855326,21.5,0
0.9855326,21.6,0
0.9855326,21.7,0
0.9855326,21.8,0
0.9855326,21.9,0
0.9855326,22,0
0.9855326,22.1,0
0.9855326,22.2,0
0.9855326,22.3,0
0.9855326,22.4,0
0.9855326,22.5,0
0.9855326,22.6,0
0.9855326,22.7,0
0.9855326,22.8,0
0.9855326,22.9,0
0.9855326,23,0
0.9855326,23.1,0
0.9855326,23.2,0
0.9855326,23.3,0
0.9855326,23.4,0
0.9855326,23.5,0
0.9855326,23.6,0
0.9855326,23.7,0
0.9855326,23.8,0
0.9855326,23.9,0
0.9855326,24,0
0.9855326,24.1,0
0.9855326,24.2,0
0.9855326,24.3,0
0.9855326,24.4,0
0.9855326,24.5,0
0.9855326,24.6,0
0.9855326,24.7,0
0.9855326,24.8,0
0.9855326,24.9,0
0.9855326,25,0
0.9855326,25.1,0
0.9855326,25.2,0
0.9855326,25.3,0
0.9855326,25.4,0
0.9855326,25.5,0
0.9855326,25.6,0
0.9855326,25.7,0
0.9855326,25.8,0
0.9855326,25.9,0
0.9855326,26,0
0.9855326,26.1,0
0.9855326,26.2,0
0.9855326,26.3,0
0.9855326,26.4,0
0.9855326,26.5,0
0.9855326,26.6,0
0.9855326,26.7,0
0.9855326,26.8,0
0.9855326,26.9,0
0.9855326,27,0
0.9855326,27.1,0
0.9855326,27.2,0
0.9855326,27.3,0
0.9855326,27.4,0
0.9855326,27.5,0
0.9855326,27.6,0
0.9855326,27.7,0
0.9855326,27.8,0
0.9855326,27.9,0
0.9855326,28,0
0.9855326,28.1,0
0.9855326,28.2,0
0.9855326,28.3,0
0.9855326,28.4,0
0.9855326,28.5,0
0.9855326,28.6,0
0.9855326,28.7,0
0.9855326,28.8,0
0.9855326,28.9,0
0.9855326,29,0
0.9855326,29.1,0
0.9855326,29.2,0
0.9855326,29.3,0
0.9855326,29.4,0
0.9855326,29.5,0
0.9855326,29.6,0
0.9855326,29.7,0
0.9855326,29.8,0
0.9855326,29.9,0
0.9855326,30,0
0.9855326,30.1,0
0.9855326,30.2,0
0.9855326,30.3,0
0.9855326,30.4,0
0.9855326,30.5,0
0.9855326,30.6,0
0.9855326,30.7,0
0.9855326,30.8,0
0.9855326,30.9,0
0.9855326,31,0
0.9855326,31.1,0
0.9855326,31.2,0
0.9855326,31.3,0
0.9855326,31.4,0
0.9855326,31.5,0
0.9855326,31.6,0
0.9855326,31.7,0
0.9855326,31.8,0
0.9855326,31.9,0
0.9855326,32,0
0.9855326,32.1,0
0.9855326,32.2,0
0.9855326,32.3,0
0.9855326,32.4,0
0.9855326,32.5,0
0.9855326,32.6,0
0.9855326,32.7,0
0.9855326,32.8,0
0.9855326,32.9,0
0.9855326,33,0
0.9855326,33.1,0
0.9855326,33.2,0
0.9855326,33.3,0
0.9855326,33.4,0
0.9855326,33.5,0
0.9855326,33.6,0
0.9855326,33.7,0
0.9855326,33.8,0
0.9855326,33.9,0
0.9855326,34,0
0.9855326,34.1,0
0.9855326,34.2,0
0.9855326,34.3,0
0.9855326,34.4,0
0.9855326,34.5,0
0.9855326,34.6,0
0.9855326,34.7,0
0.9855326,34.8,0
0.9855326,34.9,0
0.9855326,35,0
0.9855326,35.1,0
0.9855326,35.2,0
0.9855326,35.3,0
0.9855326,35.4,0
0.9855326,35.5,0
0.9855326,35.6,0
0.9855326,35.7,0
0.9855326,35.8,0
0.9855326,35.9,0
0.9855326,36,0
0.9855326,36.1,0
0.9855326,36.2,0
0.9855326,36.3,0
0.9855326,36.4,0
0.9855326,36.5,0
0.9855326,36.6,0
0.9855326,36.7,0
0.9855326,36.8,0
0.9855326,36.9,0
0.9855326,37,0
0.9855326,37.1,0
0.9855326,37.2,0
0.9855326,37.3,0
