type,latitude,longitude,left_latitude,left_longitude,right_latitude,right_longitude,node_0_latitude,node_0_longitude,node_1_latitude,node_1_longitude,node_2_latitude,node_2_longitude,node_3_latitude,node_3_longitude,node_4_latitude,node_4_longitude,node_5_latitude,node_5_longitude,node_6_latitude,node_6_longitude,node_7_latitude,node_7_longitude,node_8_latitude,node_8_longitude,node_9_latitude,node_9_longitude
0,25.48842018,51.45017025,25.488443472018364,51.450224171317274,25.488396887961926,51.45011632870363,25.48843959001667,51.45021518442961,25.48843570801443,51.45020619754252,25.48843182601164,51.45019721065602,25.488427944008308,51.4501882237701,25.488424062004423,51.45017923688476,25.48841629799502,51.45016126311582,25.488412415989497,51.45015227623222,25.48840853398342,51.4501432893492,25.488404651976804,51.450134302466765,25.488400769969637,51.450125315584906
1,25.48842831,51.45016594,25.488452409588152,51.45021942400485,25.488404210392464,51.4501124560166,25.488448392991472,51.45021051000255,25.488444376394252,51.45020159600085,25.488440359796495,51.450192681999745,25.488436343198206,51.450183767999235,25.48843232659937,51.45017485399932,25.48842429340009,51.45015702600128,25.48842027679964,51.45014811200315,25.48841626019865,51.450139198005616,25.48841224359713,51.45013028400869,25.488408226995066,51.45012137001234
2,25.48843631,51.45016133,25.48846186553169,51.45021397801674,25.488410754449525,51.45010868200565,25.488457606277713,51.45020520334573,25.488453347023214,51.45019642867534,25.488449087768192,51.450187654005575,25.48844482851265,51.45017887933643,25.488440569256582,51.450170104667905,25.48843205074289,51.45015255533273,25.48842779148526,51.45014378066606,25.488423532227106,51.450135006000025,25.488419272968432,51.450126231334615,25.48841501370924,51.45011745666982
3,25.48844419,51.45015648,25.48847105425979,51.45020832225453,25.48841732572199,51.45010463776864,25.488466576884424,51.450199681877166,25.48846209950855,51.450191041500446,25.488457622132167,51.450182401124366,25.48845314475529,51.45017376074894,25.48844866737789,51.450165120374145,25.488439712621595,51.450147839626496,25.488435235242687,51.450139199253634,25.48843075786327,51.450130558881426,25.48842628048335,51.45012191850985,25.488421803102923,51.45011327813892
4,25.48845194,51.45015139,25.488479848033425,51.45020255108728,25.48842403194884,51.450100228936485,25.488475196695756,51.45019402423775,25.48847054535759,51.45018549738888,25.48846589401893,51.450176970540674,25.48846124267978,51.450168443693116,25.488456591340135,51.45015991684623,25.48844728865937,51.45014286315443,25.48844263731825,51.450134336309524,25.488437985976635,51.45012580946527,25.48843333463453,51.45011728262168,25.48842868329193,51.45010875577875
5,25.48845962,51.45014615,25.48848819209049,51.45019685924151,25.488431047892085,51.450095440782604,25.488483430076617,51.450188407699585,25.48847866806226,51.45017995615832,25.48847390604742,51.45017150461774,25.4884691440321,51.45016305307782,25.48846438201629,51.45015460153858,25.488454857983225,51.45013769846209,25.488450095965966,51.45012924692486,25.48844533394822,51.45012079538829,25.488440571929992,51.45011234385239,25.488435809911284,51.450103892317166
6,25.48846724,51.45014081,25.48849613291275,51.45019129565625,25.488438347069977,51.45009032436803,25.48849131742849,51.45018288137852,25.48848650194375,51.45017446710147,25.48848168645853,51.45016605282509,25.488476870972836,51.450157638549385,25.488472055486657,51.450149224274355,25.48846242451286,51.45013239572632,25.488457609025243,51.450123981453316,25.488452793537142,51.45011556718099,25.48844797804857,51.450107152909325,25.48844316255951,51.45009873863834
7,25.48847484,51.45013546,25.488503869718215,51.45018584925241,25.488445810264572,51.450085070771934,25.48849903143304,51.45017745104198,25.488494193147385,51.45016905283223,25.488489354861255,51.45016065462316,25.48848451657465,51.45015225641476,25.48847967828756,51.45014385820704,25.488470001711953,51.45012706179363,25.488465163423434,51.450118663587936,25.488460325134437,51.45011026538292,25.48845548684496,51.45010186717858,25.488450648555006,51.45009346897492
8,25.48848243,51.45013007,25.488511751950405,51.450180251165555,25.488453108032534,51.45007988885893,25.488506864959856,51.450171887636266,25.488501977968834,51.450163524107644,25.488497090977333,51.45015516057972,25.488492203985366,51.45014679705247,25.488487316992916,51.45013843352589,25.48847754300661,51.45012170647479,25.488472656012743,51.45011334295025,25.4884677690184,51.450104979426406,25.488462882023587,51.45009661590323,25.4884579950283,51.45008825238074
9,25.48848997,51.45012461,25.488519783161948,51.45017443469393,25.488460156821223,51.450074785330806,25.488514814302793,51.45016613057656,25.48850984544317,51.45015782645987,25.48850487658307,51.45014952234388,25.488499907722517,51.450141218228566,25.48849493886149,51.450132914113944,25.488485001138034,51.45011630588675,25.48848003227561,51.4501080017742,25.48847506341271,51.45009969766232,25.48847009454935,51.450091393551126,25.488465125685522,51.450083089440625
10,25.48849745,51.45011904,25.48852755183436,51.450168651226534,25.488467348148962,51.45006942879831,25.488522534863126,51.45016038268705,25.488517517891427,51.45015211414826,25.48851250091926,51.45014384561016,25.48850748394664,51.45013557707275,25.48850246697355,51.450127308536025,25.488492433025986,51.45011077146466,25.48848741605151,51.45010250293001,25.488482399076567,51.45009423439605,25.48847738210116,51.450085965862776,25.488472365125293,51.4500776973302
11,25.48850493,51.45011347,25.48853509679142,51.45016303278337,25.488474763191938,51.45006390724151,25.488530068994006,51.45015477231775,25.48852504119613,51.45014651185282,25.488520013397792,51.45013825138858,25.488514985598993,51.45012999092503,25.488509957799728,51.450121730462165,25.488499902199813,51.45010520953853,25.488494874399162,51.45009694907774,25.488489846598046,51.45008868861764,25.488484818796472,51.45008042815824,25.48847979099444,51.450072167699524
12,25.48851239,51.45010788,25.488542338488088,51.45015760500102,25.488482441495155,51.45005815502377,25.488537347074573,51.450149317499125,25.488532355660585,51.45014102999793,25.488527364246135,51.45013274249741,25.488522372831227,51.450124454997585,25.488517381415846,51.45011616749845,25.48850739858369,51.45009959250224,25.488502407166916,51.450091305005174,25.48849741574967,51.45008301750879,25.488492424331966,51.45007473001309,25.488487432913793,51.450066442518086
13,25.48851992,51.45010239,25.488549584092667,51.45015232378247,25.488490255890436,51.45005245624218,25.488544640078395,51.45014400148367,25.488539696063654,51.45013567918557,25.48853475204844,51.45012735688815,25.488529808032766,51.45011903459141,25.488524864016618,51.45011071229536,25.48851497598291,51.450094067705315,25.48851003196536,51.45008574541132,25.48850508794733,51.45007742311801,25.488500143928835,51.45006910082538,25.48849519990987,51.45006077853344
14,25.48852745,51.4500969,25.488557081500172,51.45014685752954,25.488497818482916,51.45004694249509,25.488552142917985,51.4501385312729,25.488547204335326,51.45013020501695,25.4885422657522,51.450121878761685,25.488537327168604,51.450113552507105,25.488532388584538,51.450105226253214,25.488522511414995,51.45008857374747,25.48851757282952,51.45008024749562,25.48851263424357,51.450071921244465,25.48850769565716,51.45006359499399,25.488502757070272,51.4500552687442
15,25.48853499,51.45009142,25.488564344345157,51.45014157793832,25.488505635637793,51.45004126208619,25.48855945195548,51.450133218280236,25.48855455956533,51.45012485862283,25.488549667174706,51.450116498966096,25.488544774783616,51.45010813931005,25.488539882392043,51.45009977965469,25.488530097607484,51.450083060345996,25.488525205214493,51.450074700692674,25.488520312821027,51.450066341040035,25.488515420427092,51.45005798138807,25.488510528032677,51.45004962173678
16,25.48854257,51.45008604,25.488571632577425,51.45013640602944,25.48851350740538,51.45003567399492,25.488566788815714,51.45012801168951,25.488561945053526,51.45011961735025,25.488557101290855,51.450111223011675,25.48855225752772,51.45010282867377,25.488547413764095,51.45009443433655,25.48853772623542,51.45007764566412,25.488532882470366,51.450069251328934,25.488528038704835,51.45006085699441,25.48852319493883,51.45005246266057,25.488518351172342,51.45004406832741
17,25.48855017,51.45008067,25.488579101404913,51.45013112863022,25.48852123857783,51.45003021139407,25.48857427950529,51.45012271885683,25.48856945760519,51.450114309084114,25.48856463570461,51.45010589931207,25.488559813803555,51.4500974895407,25.488554991902017,51.45008907977002,25.488545348097503,51.450072260230655,25.488540526194527,51.45006385046199,25.48853570429107,51.450055440694,25.48853088238714,51.450047030926676,25.488526060482727,51.45003862116003
18,25.48855779,51.45007533,25.488586532220495,51.45012592114932,25.488529047762167,51.45002473887487,25.48858174185162,51.450117489289426,25.488576951482255,51.45010905743019,25.488572161112415,51.45010062557164,25.488567370742093,51.45009219371375,25.488562580371287,51.45008376185654,25.488552999628233,51.45006689814413,25.48854820925599,51.45005846628894,25.48854341888325,51.45005003443441,25.48853862851004,51.450041602580555,25.488533838136345,51.45003317072738
19,25.48856543,51.45007003,25.4885939960019,51.45012074349582,25.48853686398068,51.450019316528284,25.48858923500279,51.45011229124484,25.488584474003197,51.450103838994536,25.488579713003126,51.4500953867449,25.48857495200257,51.45008693449593,25.48857019100153,51.45007848224763,25.48856066899799,51.45006157775304,25.4885559079955,51.45005312550675,25.488551146992517,51.450044673261125,25.48854638598906,51.450036221016184,25.488541624985114,51.450027768771896
20,25.48857308,51.45006476,25.488601541245227,51.450115545733134,25.48854461873729,51.45001397429091,25.48859679770557,51.4501070814426,25.488592054165427,51.45009861715274,25.488587310624798,51.45009015286356,25.488582567083686,51.45008168857503,25.488577823542084,51.45007322428718,25.488568336457423,51.45005629571347,25.48856359291437,51.45004783142763,25.488558849370825,51.45003936714245,25.488554105826804,51.45003090285793,25.488549362282285,51.450022438574095
21,25.48858074,51.4500595,25.488609115834723,51.450110344358514,25.488552364147758,51.450008655665506,25.488604386530152,51.4501018702971,25.48859965722509,51.45009339623634,25.48859492791955,51.45008492217626,25.488590198613522,51.45007644811684,25.488585469307,51.450067974058086,25.48857601069251,51.450051025942585,25.48857128138453,51.45004255188584,25.488566552076065,51.450034077829756,25.488561822767117,51.45002560377434,25.488557093457683,51.45001712971959
22,25.48858841,51.45005426,25.48861670037168,51.45010516277634,25.48856011961076,51.45000335724764,25.48861198531095,51.450096678978625,25.48860727024974,51.450088195181564,25.488602555188034,51.45007971138517,25.488597840125845,51.45007122758945,25.488593125063165,51.45006274379439,25.488583694936345,51.45004577620628,25.4885789798722,51.45003729241322,25.48857426480757,51.45002880862083,25.488569549742454,51.4500203248291,25.488564834676854,51.450011841038034
23,25.48859609,51.45004903,25.488624347405988,51.45009995524693,25.488567832576443,51.44999810477704,25.488619637839545,51.450091467704105,25.488614928272614,51.45008298016195,25.48861021870519,51.45007449262047,25.488605509137283,51.45006600507965,25.488600799568886,51.4500575175395,25.48859138043063,51.45004054246118,25.48858667086077,51.45003205492302,25.488581961290418,51.45002356738552,25.48857725171958,51.4500150798487,25.488572542148255,51.45000659231253
24,25.48860377,51.4500438,25.488632060369067,51.450094702784625,25.488575479613374,51.44999289723935,25.488627345308775,51.450086218985525,25.488622630247995,51.45007773518709,25.48861791518673,51.45006925138932,25.488613200124973,51.45006076759222,25.48860848506273,51.450052283795785,25.48859905493678,51.4500353162049,25.488594339873078,51.45002683241046,25.488589624808878,51.45001834861668,25.488584909744198,51.45000986482357,25.48858019467903,51.45000138103113
25,25.48861144,51.45003856,25.488639749952462,51.45008944942397,25.48858313002999,51.44998767060002,25.48863503162827,51.45008096785164,25.48863031330359,51.450072486279986,25.488625594978423,51.450064004708985,25.48862087665277,51.450055523138666,25.48861615832663,51.450047041569,25.488606721672884,51.45003007843167,25.48860200334528,51.45002159686401,25.488597285017185,51.45001311529702,25.488592566688606,51.45000463373068,25.488587848359543,51.44999615216501
26,25.48861912,51.45003332,25.488647239131975,51.450084339102936,25.488591000850377,51.449982300920944,25.488642552611203,51.45007583591745,25.48863786608994,51.45006733273264,25.488633179568186,51.45005882954849,25.48862849304595,51.450050326364995,25.488623806523215,51.45004182318217,25.488614433476286,51.450024816818505,25.488609746952086,51.45001631363766,25.488605060427393,51.45000781045749,25.48860037390221,51.449999307277984,25.48859568737654,51.44999080409913
27,25.48862683,51.45002815,25.48865438750112,51.450079543829226,25.488599272480986,51.44997675619436,25.48864979458551,51.45007097818938,25.4886452016694,51.450062412550196,25.488640608752792,51.45005384691167,25.488636015835695,51.45004528127379,25.488631422918097,51.45003671563657,25.488622237081408,51.45001958436409,25.48861764416232,51.450011018728844,25.48861305124273,51.450002453094235,25.488608458322645,51.44999388746029,25.488603865402066,51.449985321827
28,25.48863462,51.45002312,25.488661343375952,51.45007505162172,25.488607896605767,51.449971188401385,25.48865688948123,51.450066396349825,25.488652435585998,51.45005774107858,25.488647981690256,51.45004908580797,25.488643527794014,51.45004043053801,25.48863907389726,51.450031775268684,25.48863016610223,51.450014464731964,25.488625712203955,51.450005809464564,25.488621258305166,51.44999715419781,25.488616804405876,51.44998849893169,25.488612350506077,51.44997984366621
29,25.48864249,51.45001826,25.488669246745573,51.45007017053344,25.488615733236166,51.449966349489685,25.488664787289245,51.45006151877626,25.48866032783241,51.45005286701972,25.488655868375066,51.45004421526383,25.48865140891722,51.45003556350858,25.488646949458865,51.450026911753966,25.488638030540628,51.45000960824668,25.48863357108075,51.450000956493994,25.48862911162037,51.449992304741954,25.488624652159473,51.449983652990554,25.488620192698075,51.4499750012398
30,25.48865027,51.45001322,25.48867786052224,51.4500645920915,25.48862267945988,51.449961847932094,25.48867326210311,51.45005603007462,25.48866866368348,51.450047468058386,25.488664065263354,51.450038906042806,25.488659466842737,51.45003034402788,25.488654868421616,51.450021782013614,25.48864567157789,51.45000465798705,25.48864107315528,51.44999609597475,25.488636474732175,51.449987533963096,25.48863187630857,51.449978971952106,25.488627277884472,51.44997040994177
31,25.48865798,51.45000805,25.488685431254346,51.450059513577955,25.488630528727697,51.449956586445566,25.488680856046532,51.450050936313325,25.488676280838224,51.450042359049355,25.48867170562941,51.45003378178604,25.488667130420108,51.45002520452338,25.4886625552103,51.45001662726137,25.488653404789194,51.4499994727393,25.48864882957789,51.449990895479246,25.48864425436609,51.449982318219845,25.488639679153792,51.4499737409611,25.488635103940997,51.449965163703006
32,25.48866579,51.45000306,25.48869256712682,51.4500549576441,25.48863901285493,51.44995116237902,25.488688104273614,51.45004630803515,25.488683641419907,51.45003765842683,25.488679178565693,51.45002900881916,25.488674715710967,51.450020359212125,25.488670252855734,51.45001170960574,25.488661327143756,51.4499944103949,25.488656864287005,51.44998576079044,25.488652401429743,51.44997711118662,25.48864793857198,51.449968461583445,25.488643475713708,51.44995981198091
33,25.48867363,51.44999814,25.488700621243183,51.45004990134264,25.48864663873867,51.449946378680615,25.48869612270391,51.450041274450584,25.488691624164137,51.45003264755917,25.488687125623862,51.45002402066841,25.48868262708308,51.450015393778294,25.488678128541792,51.45000676688882,25.488669131457705,51.44998951311182,25.48866463291491,51.44998088622429,25.488660134371603,51.4499722593374,25.488655635827794,51.44996363245116,25.488651137283487,51.44995500556556
34,25.4886814,51.44999307,25.48870890434789,51.450044498785346,25.488653895634183,51.4499416412382,25.488704320291156,51.45003592731948,25.48869973623392,51.45002735585428,25.488695152176184,51.45001878438973,25.488690568117956,51.450010212925825,25.488685984059224,51.450001641462585,25.488676815940273,51.449984498538065,25.488672231880052,51.449975927076785,25.488667647819334,51.44996735561615,25.488663063758114,51.44995878415618,25.488658479696397,51.44995021269686
35,25.48868914,51.44998796,25.488716504978232,51.45003947995164,25.48866177500378,51.44993644007183,25.488711944149774,51.450030893291405,25.48870738332082,51.45002230663182,25.488702822491362,51.45001371997289,25.488698261661412,51.45000513331461,25.488693700830954,51.44999654665698,25.488684579168545,51.44997937334368,25.48868001833659,51.449970786688006,25.488675457504137,51.449962200032985,25.488670896671188,51.44995361337861,25.488666335837735,51.4499450267249
36,25.48869694,51.44998294,25.48872397186042,51.450034675332795,25.488669908121437,51.44993120469048,25.48871946655161,51.45002605277571,25.488714961242295,51.450017430219276,25.488710455932473,51.450008807663494,25.48870595062216,51.450000185108344,25.488701445311328,51.44999156255385,25.488692434688165,51.449974317446795,25.48868792937583,51.44996569489424,25.488683424062987,51.449957072342336,25.488678918749642,51.44994844979107,25.488674413435792,51.449939827240456
37,25.48870475,51.44997795,25.488731527120265,51.450029847665064,25.488677972861474,51.44992605235805,25.488727064268158,51.45002119805262,25.488722601415542,51.4500125484408,25.488718138562415,51.45000389882964,25.488713675708787,51.449995249219114,25.488709212854644,51.44998659960924,25.488700287144844,51.449969300391395,25.488695824289184,51.449960650783446,25.488691361433016,51.44995200117613,25.488686898576344,51.449943351569466,25.488682435719166,51.449934701963436
38,25.48871259,51.44997303,25.48873911909651,51.45002508376114,25.488686060885115,51.44992097626185,25.488734697581705,51.45001640813268,25.48873027606638,51.45000773250487,25.488725854550548,51.449999056877694,25.488721433034215,51.44999038125116,25.488717011517362,51.44998170562526,25.488708168482127,51.44996435437538,25.488703746963747,51.4499556787514,25.488699325444856,51.44994700312806,25.488694903925452,51.44993832750535,25.48869048240554,51.44992965188328
39,25.48872045,51.44996813,25.488746925268515,51.45002021738776,25.488693974713087,51.44991604263519,25.488742512725043,51.450011536154875,25.488738100181056,51.45000285492262,25.488733687636557,51.44999417369102,25.488729275091547,51.44998549246004,25.48872486254603,51.4499768112297,25.488716037453457,51.44995944877094,25.488711624906404,51.44995076754252,25.48870721235884,51.44994208631473,25.488702799810767,51.44993340508758,25.488698387262183,51.449924723861066
40,25.4887283,51.44996323,25.488754808564515,51.4500152966037,25.488701791417096,51.44991116341927,25.488750390471708,51.45000661883483,25.488745972378386,51.449997941066584,25.48874155428455,51.44998926329898,25.48873713619021,51.449980585532025,25.488732718095356,51.44997190776569,25.488723881904118,51.449954552234956,25.48871946380774,51.449945874470544,25.488715045710844,51.44993719670676,25.48871062761344,51.44992851894363,25.488706209515524,51.449919841181135
41,25.48873615,51.44995832,25.48876257142139,51.450010440939785,25.488709728560195,51.44990619908313,25.48875816785244,51.4500017541149,25.488753764282972,51.44999306729064,25.488749360712994,51.44998438046703,25.48874495714251,51.44997569364405,25.48874055357151,51.44996700682171,25.48873174642798,51.44994963317893,25.488727342855444,51.449940946358495,25.4887229392824,51.449932259538706,25.488718535708845,51.44992357271954,25.488714132134778,51.449914885901016
42,25.48874402,51.44995345,25.488770259056032,51.45000568388551,25.488717780925466,51.449901216137306,25.488765885881314,51.449996978236335,25.488761512706077,51.4499882725878,25.48875713953033,51.4499795669399,25.488752766354065,51.449970861292634,25.48874839317729,51.449962155646,25.488739646822197,51.44994474435463,25.48873527364388,51.4499360387099,25.488730900465043,51.4499273330658,25.4887265272857,51.449918627422335,25.488722154105844,51.44990992177951
43,25.4887519,51.44994861,25.488778051716086,51.450000897617365,25.48872574826538,51.44989632240539,25.48877369309803,51.44999218301289,25.488769334479453,51.44998346840905,25.488764975860356,51.44997475380583,25.488760617240757,51.44996603920326,25.488756258620633,51.449957324601314,25.48874754137885,51.44993989539932,25.488743182757187,51.44993118079927,25.488738824135005,51.44992246619985,25.488734465512312,51.44991375160106,25.488730106889104,51.44990503700291
44,25.48875979,51.44994377,25.488785908346852,51.449996078086535,25.488733671634602,51.44989146193619,25.48878155529033,51.44998736007054,25.488777202233294,51.449978642055164,25.488772849175742,51.449969924040424,25.48876849611768,51.449961206026316,25.488764143059097,51.44995248801284,25.488755436940387,51.44993505198778,25.488751083880263,51.4499263339762,25.488746730819617,51.44991761596525,25.48874237775846,51.449908897954934,25.48873802469679,51.44990017994524
45,25.48876768,51.44993894,25.488793798345526,51.44999124809079,25.48874156163592,51.44988663193195,25.48878944528923,51.44998253007409,25.488785092232416,51.449973812058005,25.48878073917508,51.44996509404256,25.488776386117237,51.44995637602774,25.488772033058872,51.449947658013556,25.488763326940607,51.44993022198708,25.4887589738807,51.4499215039748,25.488754620820274,51.44991278596314,25.48875026775934,51.44990406795211,25.488745914697887,51.44989534994171
46,25.48877557,51.4499341,25.488801904264605,51.449986275062834,25.48874923571694,51.44988192496004,25.48879751522179,51.449977579217446,25.488793126178457,51.449968883372684,25.48878873713461,51.44996018752856,25.488784348090253,51.44995149168508,25.488779959045385,51.44994279584222,25.488771180954107,51.44992540415842,25.4887667919077,51.449916708317474,25.488762402860782,51.44990801247716,25.488758013813346,51.449899316637485,25.4887536247654,51.44989062079844
47,25.48878342,51.44992919,25.488809928555316,51.449981256633336,25.488756911426307,51.44987712338963,25.48880551046404,51.449972578859516,25.488801092372256,51.449963901086335,25.48879667427995,51.44995522331379,25.48879225618715,51.44994654554189,25.488787838093828,51.44993786777063,25.488779001905662,51.449920512230015,25.488774583810812,51.44991183446066,25.488770165715454,51.449903156691946,25.48876574761958,51.44989447892387,25.488761329523204,51.449885801156434
48,25.48879127,51.44992429,25.488817724739004,51.44997639021836,25.488764815242593,51.44987218980457,25.488813315617115,51.44996770684704,25.488808906494715,51.44995902347636,25.4888044973718,51.44995034010631,25.48880008824838,51.449941656736904,25.48879567912444,51.44993297336813,25.48878686087504,51.4499156066325,25.488782451749575,51.44990692326564,25.488778042623597,51.44989823989941,25.488773633497107,51.44988955653383,25.48876922437011,51.44988087316888
49,25.48879913,51.4499194,25.488825518105426,51.449971541677016,25.488772741876137,51.44986725834588,25.48882112008914,51.449962851395924,25.488816722072333,51.449954161115464,25.488812324055015,51.449945470835644,25.488807926037193,51.44993678055646,25.48880352801885,51.449928090277915,25.488794731980636,51.44991070972272,25.48879033396076,51.449902019446085,25.488785935940374,51.44989332917008,25.488781537919472,51.449884638894716,25.488777139898065,51.44987594861998
50,25.488807,51.44991452,25.488833421442774,51.4499666409572,25.488780578538808,51.44986239906571,25.48882901787026,51.44995795412942,25.48882461429723,51.44994926730226,25.488820210723688,51.44994058047573,25.48881580714964,51.449931893649854,25.488811403575077,51.44992320682461,25.488802596424414,51.44990583317603,25.488798192848318,51.44989714635269,25.488793789271707,51.44988845952999,25.48878938569459,51.44987977270793,25.488784982116957,51.4498710858865
51,25.48881485,51.44990962,25.48884134574523,51.44996169464866,25.488788354236387,51.44985754537431,25.48883692978897,51.449953015538945,25.488832513832197,51.44994433642988,25.48882809787491,51.449935657321454,25.488823681917122,51.44992697821367,25.488819265958814,51.449918299106514,25.488810434040673,51.44990094089412,25.48880601808084,51.44989226178888,25.488801602120493,51.44988358268428,25.488797186159633,51.449874903580316,25.488792770198266,51.44986622447699
52,25.48882271,51.44990471,25.48884920574391,51.44995678465289,25.48879621423771,51.44985263537008,25.488844789787873,51.44994810554248,25.488840373831316,51.44993942643271,25.488835957874254,51.44993074732358,25.48883154191668,51.44992206821507,25.488827125958597,51.44991338910722,25.488818294040893,51.44989603089341,25.488813878081285,51.449887351787474,25.48880946212115,51.44987867268217,25.488805046160515,51.4498699935775,25.488800630199368,51.449861314473466
53,25.48883056,51.44989981,25.48885676584328,51.44995206438205,25.48880435413821,51.44984755564072,25.48885239820402,51.4499433553168,25.488848030564245,51.449934646252174,25.488843662923955,51.449925937188176,25.488839295283153,51.44991722812482,25.488834927641832,51.44990851906209,25.488826192357653,51.44989110093854,25.488821824714794,51.44988239187771,25.48881745707142,51.44987368281752,25.48881308942753,51.449864973757954,25.48880872178313,51.44985626469903
54,25.48883847,51.44989501,25.48886437191637,51.44994745003371,25.48881256806499,51.44984256998889,25.488860054931603,51.44993871002652,25.48885573794632,51.44992997001996,25.48885142096052,51.44992123001403,25.4888471039742,51.44991249000872,25.488842786987355,51.44990375000405,25.488834153012128,51.449886269996576,25.488829836023736,51.449877529993785,25.488825519034826,51.44986878999162,25.4888212020454,51.44986004999008,25.488816885055453,51.44985130998917
55,25.48884638,51.44989022,25.488872261126897,51.44994267263305,25.488820498854444,51.449837767389546,25.488867947607037,51.44993393052597,25.48886363408667,51.44992518841952,25.488859320565776,51.4499164463137,25.488855007044368,51.449907704208506,25.48885069352244,51.44989896210394,25.48884206647703,51.44988147789669,25.48883775295355,51.44987273579401,25.488833439429552,51.44986399369195,25.488829125905035,51.44985525159052,25.48882481238,51.44984650948972
56,25.48885429,51.44988543,25.488880191913733,51.44993787004221,25.488828388067617,51.44983298998039,25.488875874929402,51.44992913003361,25.48887155794456,51.44992039002563,25.48886724095919,51.44991165001829,25.48886292397331,51.449902910011566,25.488858606986913,51.44989417000547,25.48884997301256,51.449876689995165,25.48884565602461,51.44986794999095,25.488841339036135,51.44985920998737,25.488837022047147,51.44985046998442,25.48883270505764,51.4498417299821
57,25.4888622,51.44988063,25.488888135311143,51.44993304978339,25.48883626467023,51.44982821023925,25.48888381276058,51.44992431315126,25.488879490209502,51.44991557651974,25.488875167657902,51.44990683988887,25.488870845105787,51.44989810325862,25.488866522553153,51.449889366629,25.488857877446332,51.449871893371636,25.48885355489215,51.4498631567439,25.488849232337444,51.4498544201168,25.488844909782223,51.44984568349032,25.488840587226484,51.449836946864465
58,25.4888701,51.44987583,25.48889619757244,51.44992815085853,25.488844002409,51.44982350916421,25.48889184797832,51.44991943071386,25.488887498383686,51.449910710569824,25.48888314878854,51.449901990426426,25.488878799192875,51.44989327028365,25.488874449596693,51.44988455014151,25.488865750402784,51.44986710985913,25.488861400805057,51.449858389718884,25.488857051206814,51.449849669579265,25.48885270160806,51.44984094944028,25.488848352008784,51.449832229301926
59,25.48887798,51.44987097,25.488904206331934,51.44992321178574,25.48885175364957,51.44981872823706,25.488899835277895,51.449914504819866,25.48889546422335,51.449905797854626,25.48889109316828,51.449897090890026,25.488886722112703,51.44988838392605,25.488882351056606,51.44987967696271,25.488873608942885,51.44986226303793,25.488869237885247,51.449853556076484,25.488864866827097,51.44984484911568,25.488860495768435,51.44983614215551,25.488856124709258,51.44982743519597
60,25.48888586,51.44986612,25.488912045042447,51.44991838720209,25.488859674939036,51.4498138528207,25.48890768086999,51.44990967600016,25.48890331669702,51.449900964798864,25.488898952523535,51.4498922535982,25.48889458834954,51.44988354239816,25.488890224175023,51.44987483119877,25.488881495824458,51.44985740880187,25.488877131648405,51.44984869760437,25.488872767471833,51.449839986407504,25.488868403294752,51.449831275211274,25.48886403911715,51.44982256401567
61,25.48889374,51.44986128,25.488919837673055,51.44991360080722,25.48886764230839,51.4498089592155,25.48891548806217,51.449904880671106,25.488911138450767,51.44989616053562,25.488906788838847,51.44988744040077,25.488902439226415,51.44987872026655,25.488898089613464,51.44987000013296,25.488889390386017,51.44985255986767,25.488885040771525,51.449843839735976,25.488880691156513,51.44983511960491,25.488876341540987,51.44982639947448,25.488871991924942,51.449817679344676
62,25.48890164,51.44985646,25.48892767091321,51.44990882161071,25.488875609068202,51.44980409841197,25.488923332428964,51.449900094674014,25.488918993944207,51.449891367737955,25.488914655458927,51.44988264080252,25.488910316973136,51.44987391386772,25.488905978486827,51.44986518693354,25.488897301512658,51.44984773306709,25.488892963024803,51.4498390061348,25.488888624536425,51.44983027920315,25.488884286047533,51.44982155227213,25.48887994755813,51.44981282534173
63,25.48890954,51.44985164,25.488935496046697,51.44990404720664,25.48888358393469,51.449799232816,25.488931170040207,51.44989531267063,25.4889268440332,51.44988657813524,25.488922518025674,51.44987784360049,25.488918192017636,51.44986910906636,25.488913866009078,51.44986037453287,25.488905213990407,51.44984290546776,25.488900887980304,51.44983417093615,25.48889656196967,51.44982543640517,25.48889223595853,51.449816701874816,25.488887909946868,51.44980796734509
64,25.48891745,51.44984685,25.488943343722557,51.44989929503419,25.488891556258796,51.4497944049884,25.488939028103424,51.449890554193594,25.48893471248378,51.44988181335362,25.48893039686361,51.44987307251427,25.488926081242926,51.449864331675556,25.48892176562172,51.449855590837466,25.488913134377757,51.44983810916317,25.488908818755,51.44982936832696,25.488904503131725,51.44982062749138,25.48890018750793,51.44981188665643,25.48889587188362,51.4498031458221
